"","Nom","Sexe","Effectif","Pourcentage_Masc","Pourcentage"
"1","aaliyah","F","   139","0","0"
"2","abby","F","     3","0","0"
"3","abbygaelle","F","     5","0","0"
"4","abelle","F","     3","0","0"
"5","abiba","F","     3","0","0"
"6","abigael","F","   170","0","0"
"7","abigaelle","F","   205","0","0"
"8","abigail","F","   212","0","0"
"9","abinaya","F","    25","0","0"
"10","abir","F","    58","0","0"
"11","abisha","F","     7","0","0"
"12","abla","F","    26","0","0"
"13","aby","F","    34","0","0"
"14","abygaelle","F","    31","0","0"
"15","acelya","F","    20","0","0"
"16","acia","F","     3","0","0"
"17","ada","F","    19","0","0"
"18","adela","F","    14","0","0"
"19","adelaida","F","     3","0","0"
"20","adelia","F","    33","0","0"
"21","adelie","F","   351","0","0"
"22","adelina","F","    27","0","0"
"23","adelinaa>","F","     3","0","0"
"24","adeline","F"," 43604","0","0"
"25","adelyne","F","    16","0","0"
"26","adia","F","     3","0","0"
"27","adila","F","     3","0","0"
"28","adja","F","    32","0","0"
"29","adjia","F","     6","0","0"
"30","adjila","F","    10","0","0"
"31","adline","F","     3","0","0"
"32","adolphine","F","    41","0","0"
"33","adriana","F","   627","0","0"
"34","adriane","F","    36","0","0"
"35","adrianna","F","    21","0","0"
"36","adrienne","F","  1003","0","0"
"37","aela","F","    50","0","0"
"38","aelia","F","    40","0","0"
"39","aenor","F","     9","0","0"
"40","afaf","F","    24","0","0"
"41","afef","F","    11","0","0"
"42","afida","F","     5","0","0"
"43","afifa","F","    13","0","0"
"44","agata","F","     3","0","0"
"45","agate","F","     3","0","0"
"46","agatha","F","    24","0","0"
"47","agathed>","F","    12","0","0"
"48","aglae","F","   186","0","0"
"49","agnesd>","F","    51","0","0"
"50","agustina","F","     3","0","0"
"51","ahlam","F","    91","0","0"
"52","ahlame","F","     9","0","0"
"53","ahlem","F","   307","0","0"
"54","ahlemd>","F","     3","0","0"
"55","ahleme","F","     3","0","0"
"56","ai","F","     6","0","0"
"57","aicha","F","  6659","0","0"
"58","aichata","F","     3","0","0"
"59","aichatou","F","     9","0","0"
"60","aiche","F","     6","0","0"
"61","aida","F","   714","0","0"
"62","aidee","F","    27","0","0"
"63","aiko","F","     3","0","0"
"64","aileen","F","     6","0","0"
"65","ailis","F","     3","0","0"
"66","aimee","F","  1179","0","0"
"67","aimelyne","F","     3","0","0"
"68","aimie","F","    40","0","0"
"69","aimy","F","    41","0","0"
"70","aina","F","    20","0","0"
